id,name,type_code,is_intervention,is_international
724,Greek Civil War round 3 of 1946-1949,4,,True
726,Taiwan Revolt of 1947,5,,False
727,Paraguay War of 1947,4,,False
728,Sanaa Revolt of 1948,4,,False
730,Costa Rica War of 1948,4,,False
730.5,First Burmese War of 1948-1950,4,,False
731,La Violencia first wave of 1948-1953,4,,False
732.5,Telengana Rebellion of 1948-1950,4,,False
733,Huk Rebellion of 1950-1954,5,,False
734,South Moluccas War of 1950,5,,False
736,Indonesia Darul Islam Rebellion of 1951-1962,4,,False
737,Bolivian National Revolution of 1952,4,,False
739,La Violencia second wave of 1955-1962,4,,False
740,Argentine Military War of 1955,4,,False
740.5,Liangshan Rebellion of 1955-1957,5,,False
741,Tibetan Khamba Rebellion of 1956-1959,5,,False
741.5,Naga Insurgency phase 1 of 1956-1957,5,,False
742,Permesta Rebellion of 1958-1961,4,,False
743,First Lebanese War of 1958,4,,True
745,Cuban Revolution of 1958-1959,4,,False
746,Second Burmese War of 1958-1960,4,,False
747,Mosul Revolt of 1959,4,,False
748,Vietnam War phase 1 of 1960-1965,4,,True
749,First Laotian War of 1960-1968,4,,True
750,First DRC War of 1960-1963,5,,True
752,First Iraqi Kurds War of 1961-1963,5,,True
753,Algerian Revolution of 1962,4,,False
755,North Yemen War of 1962-1970,4,,True
757,First Ogaden War of 1963-1964,5,,True
758,First South Sudan War of 1963-1972,5,,True
760,First Rwanda War of 1963-1964,4,,False
761,Second DRC War of 1964-1965,5,,False
762,Third DRC Rebellion of 1964-1965,4,,True
765,Second Iraqi Kurds War of 1965-1966,5,,False
766,Dominican Republic War of 1965,4,,True
767,Third Burmese War of 1965-1993,4,,True
768,First Uganda War of 1966,5,,False
770,First Guatemala War of 1966-1968,4,,True
771.5,First West Papua War of 1967-1968,5,,False
772,Cultural Revolution phase 1 of 1967,6,,False
775,Biafra War of 1967-1970,5,,False
776,Cultural Revolution phase 2 of 1967-1968,5,,False
776.3,First Chad Rebellion of 1968-1971,4,,True
777,Third Iraqi Kurds War of 1968-1970,5,,False
778,Naxalite Rebellion of 1970-1971,4,,False
780,Black September War of 1970,4,,True
781,Second Guatemala War of 1970-1971,4,,False
782,Pakistan - Bengal War of 1971,5,,True
783,First Sri Lanka-JVP War of 1971,4,,False
785,First Khmer Rouge War of 1971-1975,4,,True
786,First Philippine - Moro War of 1972-1981,5,,False
787,Thai Communist Insurgency of 1972-1973,4,,False
788,Eritrean Split of 1972-1974,7,,False
789,First Burundi War of 1972,4,,False
792,Baluchi Separatists War of 1973-1977,5,,False
793,Chilean Coup of 1973,4,,False
795,Dhofar Rebellion phase 2 of 1973-1975,5,,True
797,Fourth Iraqi  Kurds War of 1974-1975,5,,True
798,Eritrean War of 1975-1979,5,,True
800,Argentine Leftists War of 1975-1976,4,,False
801,Second Lebanese War of 1975-1976,7,,True
803,Second Laotian War of 1976-1979,5,,True
804,Angolan Control War of 1976-1991,4,,True
804.5,Rhodesia War of 1976-1979,4,,False
805,Second Ogaden War phase 1 of 1976-1977,5,,True
805.3,Anti-Nimeiry Revolt of 1976,4,,False
806,East Timorese War phase 3 of 1976-1979,5,,False
806.3,Second West Papua War of 1977-1978,5,,False
806.8,Chad - FAP War of 1977-1978,4,,True
807,Third Lebanese War of 1978,7,,True
808,Second Ogaden War phase 3 of 1978-1980,5,,True
